firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,,,,,,,,,,,,,,,,
Elmar,Lichtenegger,AUT,Austria,M,AAF,Norandrosterone,11/20/07,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Susanne,Pumper,AUT,Austria,F,IAAF rule 32.2f,Possession of a Prohibited Substance or a Prohibited Method,2/1/09,8,8 years ineligibility,3/5/20,,,,,,,,,,,,,,,,
Chaltu,Beji,AZE,Azerbaijan,F,AAF,Ostarine,6/21/15,4,4 years ineligibility,6/26/19,,,,,,,,,,,,,,,,
Dzmitry,Marshin,AZE,Azerbaijan,M,AAF,Dehydrochloromethyl testosterone,5/29/15,4,4 years ineligibility,6/28/19,,,,,,,,,,,,,,,,
Tsehynesh,Tsale,AZE,Azerbaijan,F,AAF,Metenolone,12/27/13,2,2 years ineligibility,2/10/16,,,,,,,,,,,,,,,,
Momhed,Khalifa,BHR,Bahrain,M,AAF,Prednisolone,4/15/15,2,2 years ineligibility,5/11/17,,,,,,,,,,,,,,,,
SALEM Marwa,Salah,BRN,Bahrain,F,n.a.,Oxandrolone,10/28/13,2,2 years ineligibility,12/1/15,,,,,,,,,,,,,,,,
Natallia,Kareiva,BLR,Belarus,F,IAAF Rule 32.2b,ABP Case - Use/attempted use of a prohibited substance/method,7/28/10,2,2 years ineligibility,8/21/16,,,,,,,,,,,,,,,,
Pavel,Kryvitski,BLR,Belarus,M,AAF,Growth Hormone (hGH),5/11/15,4,4 years ineligibility,6/10/19,,,,,,,,,,,,,,,,
Andrei,Mikhnevich,BLR,Belarus,M,AAF,"Clenbuterol, Methandienone & Oxandrolone",8/6/05,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Nadzeya,Ostapchuk,BLR,Belarus,F,AAF,Formestane & 4-Hydroxytestosterone ; Metenolone,8/5/12,4,4 years ineligibility,8/14/16,,,,,,,,,,,,,,,,
Volha,Rezkaya,BLR,Belarus,F,AAF,Dehydrochloromethyltestosterone,10/13/13,2,2 years ineligibility,11/1/15,,,,,,,,,,,,,,,,
Andrei,Varantsou,BLR,Belarus,M,AAF,Dehydrochloromethyltestosterone,10/9/13,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Amantle,Montsho,BOT,Botswana,F,AAF,Methylhexaneamine,7/29/14,2,2 years ineligibility,8/28/16,,,,,,,,,,,,,,,,
Eilas,Bastos,BRA,Brazil,M,AAF,Methyltestosterone,4/6/14,2,2 years ineligibility,7/7/16,,,,,,,,,,,,,,,,
Jamil,Da Silva Santos,BRA,Brazil,M,AAF,Exogenous Steroids,6/3/14,2,2 years ineligibility,6/2/16,,,,,,,,,,,,,,,,
Simone Alves,Da Silva,BRA,Brazil,F,AAF,EPO,8/3/11,5,5 years ineligibility (2nd ADRV),10/13/16,,,,,,,,,,,,,,,,
Guza Reze Reze,De Aquino Silva,BRA,Brazil,F,AAF,Prednisolone & Gestrinone,8/24/14,1.5,18 months,2/23/16,,,,,,,,,,,,,,,,
Ivanildo,Dos Anjos,BRA,Brazil,M,AAF,Hydrochlorothiazide,8/3/14,1.5,18 months ineligibility,2/2/16,,,,,,,,,,,,,,,,
Vanda,Gomes,BRA,Brazil,F,AAF,Anastrozole,9/25/14,2,2 years ineligibility,9/24/16,,,,,,,,,,,,,,,,
Bruno,Lazaretti,BRA,Brazil,M,AAF,EPO,4/5/15,3,3 years and 6 months ineligibility,10/4/18,,,,,,,,,,,,,,,,
Silvano,Lima Pinto,BRA,Brazil,M,IAAF Rule 32.2c,Refusal to submit to doping control,8/24/14,2,2 years ineligibility,8/23/16,,,,,,,,,,,,,,,,
Daniel,Lopez Ferreira,BRA,Brazil,M,AAF,Phentermine,8/9/09,100,Lifetime ineligibility,Lifetime ban,,,,,,,,,,,,,,,,
Marcelo,Moreira,BRA,Brazil,M,AAF,Mephentermine,4/18/09,100,Lifetime ban,Lifetime ban,,,,,,,,,,,,,,,,
Jose Roberto,Pereira De Jesus,BRA,Brazil,M,AAF,"AAF Methyltestosterone, Tamoxifen and Chlortalidone",11/3/13,2,2 years ineligibility,11/2/15,,,,,,,,,,,,,,,,
Eloita Catarina,Possati Michiuye,BRA,Brazil,F,AAF,Oxandrolone and Testosterone,11/17/13,2,2 years ineligibility,11/16/15,,,,,,,,,,,,,,,,
Ak. Hafiy Tajuddin,Rositi,BRU,Brunei,M,AAF,Nandrolone,12/15/13,2,2 years ineligibility,12/24/15,,,,,,,,,,,,,,,,
Andrian,Andreev,BUL,Bulgaria,M,AAF,Metenolone,2/27/08,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Tezdzhan,Naimova,BUL,Bulgaria,F,AAF,Drostanolone,3/3/13,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Fanny,Appes Ekanga,CMR,Cameroon,F,AAF,Clenbuterol,1/24/15,2,2 years ineligibility,2/11/17,,,,,,,,,,,,,,,,
Alicia,Brown,CAN,Canada,F,AAF,Hydrochlorothiazide,11/26/13,2,2 years ineligibility,11/25/15,,,,,,,,,,,,,,,,
Daniel,Novia,CAN,Canada,M,AAF,"Testosterone, Methasterone & Tamoxifen",7/5/15,3.67,3 years and 8 months ineligibility,3/14/19,,,,,,,,,,,,,,,,
Jingzhai,Cheng,CHN,China,M,AAF,EPO,1/4/14,2,2 years ineligibility,2/29/16,,,,,,,,,,,,,,,,
Anna,Yin,CHN,China,F,AAF,EPO,9/7/14,2,2 years ineligibility,9/6/16,,,,,,,,,,,,,,,,
Blanca Liliana,Moreno Canchon,COL,Colombia,F,AAF,Triamterene,12/8/13,2,2 years ineligibility,1/20/16,,,,,,,,,,,,,,,,
Edder Cesar,Moreno,COL,Colombia,M,AAF,Stanozolol,2/16/14,2,2 years ineligibility,3/11/16,,,,,,,,,,,,,,,,
Martin,Maric,CRO,Croatia,M,AAF,SARMs,7/13/14,2,2 years ineligibility,8/5/16,,,,,,,,,,,,,,,,
Soren,Hammer,DEN,Denmark,M,AAF,Nandrolone,3/26/14,2,2 years ineligibility,4/13/16,,,,,,,,,,,,,,,,
Leidy,Ramirez Manase,DOM,Dominican Rep.,F,AAF,Stanozolol,5/29/14,2,2 years ineligibility,7/20/16,,,,,,,,,,,,,,,,
Ilja,Nicolajev,EST,Estonia,M,IAAF Rule 32.2b,Use/attempted use of a prohibited ; substance/method,4/16/13,2,2 years ineligibility,2/2/17,,,,,,,,,,,,,,,,
Nikolai,Vedehin,EST,Estonia,M,AAF,Trimetazidine,2/5/15,4,4 years ineligibility,3/22/19,,,,,,,,,,,,,,,,
Tesfaye,Assefa,ETH,Ethiopia,M,IAAF rule 32.2c,Refusal,10/31/14,2,2 years ineligibility,1/19/17,,,,,,,,,,,,,,,,
Eyerusalem,Kuma,ETH,Ethiopia,F,AAF,EPO,10/20/13,2,2 years ineligibility,11/17/15,,,,,,,,,,,,,,,,
Pekka,Viippo,FIN,Finland,M,AAF,Hydrochlorothiazide,9/4/11,8,(2nd ADRV) 8 years ineligibility,11/10/19,,,,,,,,,,,,,,,,
Erwan,Baqas,FRA,France,M,AAF,Clenbuterol,6/29/14,2,2 years ineligibility,12/9/16,,,,,,,,,,,,,,,,
Quentin,Bigot,FRA,France,M,AAF,Methandienone & Stanozolol,6/21/14,2,2 years ineligibility,7/10/16,,,,,,,,,,,,,,,,
Larbi,Es-Sraidi,FRA,France,M,AAF,Triamcinolone acetonide,6/14/15,2,2 years ineligibility,8/25/17,,,,,,,,,,,,,,,,
Jimmy,Fontaine,FRA,France,M,IAAF rule 32.2c,Refusal to submit to doping control,6/22/13,2,2 years ineligibility,1/3/16,,,,,,,,,,,,,,,,
Nour-Eddine,Gezzar,FRA,France,M,AAF,EPO,6/17/12,10,10 years ineligibility (2nd ADRV),7/12/22,,,,,,,,,,,,,,,,
Abraham,Kiprotich,FRA,France,M,AAF,EPO,11/17/13,2,2 years ineligibility,10/5/16,,,,,,,,,,,,,,,,
Bertrand,Moulinet,FRA,France,M,AAF,FG-4592,3/30/15,4,4 years ineligibility,4/21/19,,,,,,,,,,,,,,,,
Sabine,Petitjean,FRA,France,F,AAF,Tuaminoheptane,12/21/14,0.75,9 months ineligibility,12/13/15,,,,,,,,,,,,,,,,
James Kibocha,Theuri,FRA,France,M,IAAF Rule 32.2d,3 Whereabouts Failures within an 18 month period,5/9/14,1,1 year ineligibility,12/23/15,,,,,,,,,,,,,,,,
Kofi Amoah,Prah,GER,Germany,M,AAF; IAAF Rule 40.11.b,Cocaine; Violation of the prohibition of Participation during ineligibility,7/5/09,2,2 years ineligibility,2/15/16,,,,,,,,,,,,,,,,
Grigoria-Emmanouela,Keramida,GRE,Greece,F,AAF,Stanozolol,2/9/14,2,2 years ineligibility,6/26/16,,,,,,,,,,,,,,,,
Theopistos,Mavridis,GRE,Greece,M,AAF,Testosterone,2/9/14,2,2 years ineligibility,7/1/16,,,,,,,,,,,,,,,,
Christos,Polychroniou,GRE,Greece,M,IAAF rule 32.2c,Refusal to submit to doping control,3/18/08,100,Lifetime ban (2nd ADRV),Lifetime ban,,,,,,,,,,,,,,,,
Mihail,Stamatoyiannis,GRE,Greece,M,AAF,Stanozolol,5/31/14,2,2 years ineligibility,6/22/16,,,,,,,,,,,,,,,,
Robert,Fazekas,HUN,Hungary,M,AAF,Stanozolol,6/16/12,6,6 years ineligibility,7/5/18,,,,,,,,,,,,,,,,
,Angeeta,IND,India,F,AAF,Testosterone,5/11/14,2,2 years ineligibility,6/8/16,,,,,,,,,,,,,,,,
,Ashwini,IND,India,F,IAAF rule 32.2c,Refusal,12/25/13,2,2 years ineligibility,4/23/16,,,,,,,,,,,,,,,,
Dipti,Chutiya,IND,India,F,AAF,Norandrosterone,11/30/13,2,2 years ineligibility,12/23/15,,,,,,,,,,,,,,,,
,Dilyogi,IND,India,M,AAF,Clenbuterol,12/5/13,2,2 years ineligibility,1/7/16,,,,,,,,,,,,,,,,
P.B.,Giri,IND,India,M,AAF,Stanozolol,1/25/10,8,8 years ineligibility (2nd ADRV),7/20/18,,,,,,,,,,,,,,,,
Kamaraj,Gunasekaran,IND,India,M,AAF,Mephentermine,11/12/14,2,2 years ineligibility,12/1/16,,,,,,,,,,,,,,,,
Seema,Jhakar,IND,India,F,AAF,Stanozolol,11/19/09,8,8 years ineligibility (2nd ADRV),8/30/18,,,,,,,,,,,,,,,,
Dharmender,Kumar,IND,India,M,AAF,Boldenone,12/26/13,2,2 years ineligibility,1/23/16,,,,,,,,,,,,,,,,
Gaurav,Kumar,IND,India,M,AAF,Norandrosterone,9/23/13,2,2 years ineligibility,10/29/15,,,,,,,,,,,,,,,,
Naveen,Kumar,IND,India,M,AAF,Exogenous Steroids,6/6/14,2,2 years ineligibility,7/9/16,,,,,,,,,,,,,,,,
Sathish,Kumar,IND,India,M,AAF,Stanozolol & Testosterone,11/30/14,2,2 years ineligibility,12/25/15,,,,,,,,,,,,,,,,
Shalendra,Kumar,IND,India,M,AAF,"Methylhexaneamine, Trenbolone",3/14/13,3,3 years ineligibility,4/15/16,,,,,,,,,,,,,,,,
Sunil,Kumar,IND,India,M,AAF,Metandienone,6/6/14,2,2 years ineligibility,7/1/16,,,,,,,,,,,,,,,,
Surender,Kumar,IND,India,M,AAF,Metandienone & Testosterone,12/6/13,2,2 years ineligibility,12/29/15,,,,,,,,,,,,,,,,
