country,countrycode,total,female,male
Austria,AUT,2,1,1
Azerbaijan,AZE,3,2,1
Bahrain,BHR,2,1,1
Belarus,BLR,6,3,3
Botswana,BWA,1,1,
Brazil,BRA,12,4,8
Brunei,BRN,1,,1
Bulgaria,BGR,2,1,1
Cameroon,CMR,1,1,
Canada,CAN,2,1,1
China,CHN,2,1,1
Colombia,COL,2,1,1
Croatia,HRV,1,,1
Denmark,DNK,1,,1
Dominican Rep.,DOM,1,1,
Estonia,EST,2,,2
Ethiopia,ETH,2,1,1
Finland,FIN,1,,1
France,FRA,9,1,8
Germany,DEU,1,,1
Greece,GRC,4,1,3
Hungary,HUN,1,,1
India,IND,34,9,25
Iran,IRN,3,1,2
Ireland,IRL,1,,1
Israel,ISR,1,,1
Italy,ITA,10,2,8
Jamaica,JAM,2,1,1
Kazakhstan,KAZ,1,1,
Kenya,KEN,15,8,7
Lebanon,LBN,1,1,
Macedonia,MKD,1,1,
Malaysia,MYS,1,,1
Mexico,MEX,2,,2
Moldova,MDA,1,,1
Morocco,MAR,16,5,11
Myanmar,MMR,1,1,
Netherlands,NLD,2,1,1
Nigeria,NGA,3,2,1
Poland,POL,2,1,1
Portugal,PRT,5,,5
Qatar,QAT,1,,1
Romania,ROU,8,5,3
Russia,RUS,43,25,18
Saudi Arabia,SAU,6,,6
Senegal,SEN,1,,1
Serbia,SRB,1,,1
Slovakia,SVK,3,,3
South Africa,ZAF,7,2,5
Spain,ESP,3,,3
Sri Lanka,LKA,1,1,
Sweden,SWE,8,1,7
Syria,SYR,1,1,
Tanzania,TZA,1,1,
Turkey,TUR,13,9,4
UK,GBR,2,,2
Ukraine,UKR,12,8,4
United Arab Emirates,ARE,1,,1
Uruguay,URY,1,,1
USA,USA,8,2,6
Uzbekistan,UZB,3,1,2
Venezuela,VEN,2,1,1
