infractiondate,female,male
2004/01,,1
2004/02,1,
2004/03,1,
2004/07,,1
2004/08,1,
2005/02,,1
2005/08,,2
2005/12,1,
2007/01,,1
2007/09,1,
2007/11,,1
2008/02,,1
2008/03,,1
2008/05,,1
2008/07,,2
2008/08,1,
2009/01,,1
2009/02,1,
2009/04,,1
2009/06,,1
2009/07,,1
2009/08,1,1
2009/11,1,
2010/01,,1
2010/02,1,
2010/03,,2
2010/05,1,
2010/06,2,1
2010/07,2,
2010/10,,1
2011/02,,2
2011/03,,2
2011/04,,1
2011/06,1,2
2011/08,3,
2011/09,,2
2011/10,,3
2011/11,,1
2011/12,,1
2012/01,,2
2012/02,1,
2012/03,2,
2012/04,,1
2012/05,1,
2012/06,1,2
2012/07,3,1
2012/08,1,1
2012/12,1,2
2013/02,1,2
2013/03,1,1
2013/04,1,1
2013/05,3,2
2013/06,3,3
2013/07,,3
2013/08,2,2
2013/09,,4
2013/10,4,2
2013/11,5,3
2013/12,8,9
2014/01,4,4
2014/02,5,8
2014/03,4,5
2014/04,5,8
2014/05,4,13
2014/06,4,10
2014/07,7,9
2014/08,4,7
2014/09,6,2
2014/10,,3
2014/11,,6
2014/12,3,5
2015/01,2,1
2015/02,2,6
2015/03,,1
2015/04,2,3
2015/05,2,2
2015/06,1,1
2015/07,,4
